age,ethnicity,gender,location,personality,past_activities,occupation,social_media_use
24,White,Male,Austin,Extroverted,"['Dance', 'Video Games']",Media,4
18,Black,Female,Phoenix,Extroverted,"['Dance', 'Mind-Body', 'Indoor Activites', 'Video Games']",Student,2
22,Asian,Non-Binary,San Francisco,Social,['Video Games'],Research,4
19,Other,Female,Los Angeles,Relaxed,"['Creative', 'Outdoor', 'Indoor Activites', 'Video Games']",Student,3
27,White,Male,San Francisco,Social,"['Mind-Body', 'Team Sports']",Creative,3
23,White,Male,Houston,Social,['Outdoor'],Education,1
20,Hispanic,Male,Austin,Introverted,"['Mind-Body', 'Water Sports', 'Strength Training']",Production,5
24,Other,Male,San Francisco,Extroverted,"['Mind-Body', 'Outdoor', 'Video Games']",HR,2
25,Other,Female,Phoenix,Extroverted,"['Individual Sports', 'Strength Training', 'Outdoor', 'Dance']",Environmental,2
20,Asian,Male,New York,Relaxed,"['Indoor Activites', 'Individual Sports', 'Mind-Body']",Student,2
30,White,Non-Binary,San Diego,Relaxed,"['Creative', 'Water Sports', 'Dance', 'Team Sports']",Legal Work,2
20,White,Male,Los Angeles,Extroverted,"['Individual Sports', 'Creative', 'Team Sports', 'Mind-Body']",Student,3
25,Black,Male,Chicago,Social,['Creative'],Education,3
32,Other,Male,New York,Ambitious,"['Outdoor', 'Water Sports', 'Video Games', 'Team Sports']",Creative,1
18,Middle Eastern,Female,San Diego,Social,"['Individual Sports', 'Video Games']",Student,3
29,Middle Eastern,Female,Phoenix,Extroverted,"['Mind-Body', 'Creative']",Healthcare,2
25,Hispanic,Female,Phoenix,Extroverted,"['Team Sports', 'Individual Sports', 'Water Sports', 'Indoor Activites']",Retired,2
31,Middle Eastern,Non-Binary,Austin,Social,"['Outdoor', 'Water Sports']",Creative,4
25,Hispanic,Female,San Diego,Extroverted,"['Water Sports', 'Team Sports']",Technology,1
18,Asian,Female,San Diego,Social,"['Indoor Activites', 'Individual Sports', 'Team Sports', 'Dance']",Student,3
25,Asian,Male,New York,Social,"['Dance', 'Video Games', 'Individual Sports', 'Indoor Activites']",Media,2
19,Asian,Male,Phoenix,Extroverted,['Outdoor'],Student,4
25,Asian,Female,San Francisco,Social,['Outdoor'],Creative,1
22,Mixed,Male,Chicago,Ambitious,"['Dance', 'Team Sports', 'Video Games', 'Creative']",Student,4
28,Mixed,Female,San Diego,Social,"['Outdoor', 'Video Games', 'Dance']",Legal Work,2
21,Middle Eastern,Non-Binary,Houston,Social,"['Team Sports', 'Creative']",Student,3
32,White,Non-Binary,Houston,Introverted,"['Strength Training', 'Individual Sports', 'Mind-Body', 'Team Sports']",Retired,4
18,Hispanic,Male,New York,Ambitious,"['Video Games', 'Water Sports', 'Individual Sports', 'Strength Training']",Student,5
27,Asian,Female,Los Angeles,Introverted,['Dance'],Technology,4
22,Middle Eastern,Male,Chicago,Relaxed,"['Strength Training', 'Creative', 'Indoor Activites', 'Video Games']",Student,4
24,Other,Male,Phoenix,Introverted,"['Outdoor', 'Dance']",Environmental,2
40,Mixed,Male,Los Angeles,Social,"['Creative', 'Dance', 'Mind-Body']",Media,5
40,Mixed,Non-Binary,Chicago,Extroverted,"['Strength Training', 'Team Sports', 'Video Games']",Legal Work,2
30,Black,Male,San Diego,Relaxed,"['Outdoor', 'Water Sports', 'Video Games', 'Team Sports']",HR,1
24,Mixed,Female,San Francisco,Extroverted,"['Team Sports', 'Water Sports']",Technology,3
22,Asian,Female,San Diego,Extroverted,['Outdoor'],Retired,4
18,White,Male,Austin,Extroverted,"['Mind-Body', 'Strength Training', 'Individual Sports', 'Dance']",Student,3
26,White,Non-Binary,Phoenix,Ambitious,"['Individual Sports', 'Mind-Body']",HR,1
25,Asian,Non-Binary,Los Angeles,Ambitious,"['Mind-Body', 'Strength Training', 'Creative']",Office/Admin,1
25,Middle Eastern,Male,Austin,Relaxed,"['Video Games', 'Mind-Body']",Healthcare,4
24,Black,Female,New York,Ambitious,['Dance'],Retired,1
21,Asian,Non-Binary,Los Angeles,Relaxed,"['Individual Sports', 'Dance', 'Video Games', 'Water Sports']",Research,3
19,Other,Male,Austin,Social,"['Water Sports', 'Indoor Activites', 'Video Games', 'Outdoor']",Student,1
25,Black,Non-Binary,Los Angeles,Extroverted,"['Water Sports', 'Outdoor', 'Individual Sports', 'Strength Training']",Environmental,5
37,Hispanic,Female,Austin,Relaxed,['Water Sports'],Legal Work,3
25,Middle Eastern,Male,San Francisco,Relaxed,"['Mind-Body', 'Outdoor', 'Indoor Activites', 'Video Games']",Production,5
33,Asian,Female,Los Angeles,Relaxed,"['Mind-Body', 'Creative', 'Outdoor', 'Team Sports']",Education,5
25,White,Female,Chicago,Extroverted,"['Team Sports', 'Dance']",Research,1
24,Asian,Female,San Diego,Ambitious,"['Creative', 'Video Games', 'Water Sports', 'Strength Training']",Sales,3
25,Asian,Female,Chicago,Extroverted,"['Strength Training', 'Creative', 'Indoor Activites', 'Water Sports']",Media,4
24,Hispanic,Male,San Francisco,Social,['Strength Training'],Maintenance,2
20,Asian,Female,Phoenix,Social,['Team Sports'],Student,4
20,Hispanic,Non-Binary,Houston,Introverted,"['Creative', 'Strength Training', 'Dance', 'Outdoor']",Student,4
22,Black,Female,Austin,Extroverted,"['Team Sports', 'Mind-Body']",Student,5
23,White,Male,San Diego,Introverted,"['Water Sports', 'Strength Training']",Legal Work,2
23,Other,Female,San Diego,Relaxed,"['Video Games', 'Strength Training', 'Mind-Body']",Healthcare,3
24,White,Non-Binary,San Diego,Social,"['Outdoor', 'Creative', 'Indoor Activites']",Education,1
28,Asian,Non-Binary,Austin,Ambitious,"['Video Games', 'Outdoor']",Maintenance,3
21,Middle Eastern,Male,Phoenix,Social,"['Team Sports', 'Indoor Activites', 'Dance']",Student,2
22,Hispanic,Non-Binary,Chicago,Relaxed,"['Outdoor', 'Indoor Activites', 'Creative', 'Team Sports']",Student,2
18,Middle Eastern,Non-Binary,San Francisco,Introverted,"['Individual Sports', 'Water Sports']",Retired,1
24,Other,Female,San Diego,Extroverted,"['Mind-Body', 'Video Games', 'Water Sports', 'Strength Training']",Client Relation/Support,5
19,Asian,Female,New York,Extroverted,"['Creative', 'Strength Training', 'Individual Sports', 'Water Sports']",Student,5
18,Mixed,Male,San Diego,Introverted,['Outdoor'],Legal Work,4
21,Mixed,Non-Binary,Austin,Extroverted,"['Water Sports', 'Team Sports', 'Strength Training']",Production,1
35,Asian,Female,Phoenix,Relaxed,"['Outdoor', 'Creative', 'Mind-Body']",Education,4
18,Middle Eastern,Non-Binary,San Diego,Introverted,"['Creative', 'Dance']",Student,2
27,Mixed,Female,Chicago,Introverted,"['Outdoor', 'Creative']",Client Relation/Support,4
20,Mixed,Male,Los Angeles,Introverted,"['Water Sports', 'Strength Training']",Student,5
29,Other,Female,New York,Introverted,"['Dance', 'Creative', 'Strength Training']",Retired,5
37,Other,Female,Los Angeles,Relaxed,"['Water Sports', 'Creative', 'Individual Sports', 'Outdoor']",Client Relation/Support,3
18,Other,Female,San Diego,Introverted,"['Indoor Activites', 'Mind-Body']",Student,1
22,White,Female,Austin,Extroverted,"['Water Sports', 'Mind-Body']",Student,2
19,Black,Female,Houston,Introverted,['Dance'],Student,3
23,Black,Female,New York,Extroverted,"['Outdoor', 'Creative']",Education,4
23,Mixed,Female,Los Angeles,Relaxed,"['Water Sports', 'Mind-Body', 'Team Sports', 'Outdoor']",Creative,4
21,White,Female,San Diego,Extroverted,['Dance'],Student,3
23,Asian,Male,Chicago,Social,"['Water Sports', 'Dance', 'Outdoor']",Media,1
19,Middle Eastern,Male,Phoenix,Ambitious,['Individual Sports'],Student,4
27,Other,Non-Binary,Chicago,Extroverted,"['Team Sports', 'Water Sports', 'Strength Training']",Research,3
25,Mixed,Female,Los Angeles,Social,"['Water Sports', 'Mind-Body', 'Creative', 'Outdoor']",Environmental,1
25,Other,Non-Binary,Chicago,Social,['Strength Training'],Client Relation/Support,3
23,Other,Female,San Francisco,Extroverted,"['Dance', 'Mind-Body', 'Individual Sports', 'Water Sports']",Production,2
18,Other,Female,San Diego,Extroverted,"['Creative', 'Indoor Activites', 'Dance']",Maintenance,2
25,Hispanic,Non-Binary,Los Angeles,Social,['Dance'],Education,1
18,Hispanic,Male,New York,Extroverted,"['Indoor Activites', 'Strength Training', 'Team Sports']",Student,1
23,Other,Female,San Francisco,Extroverted,['Outdoor'],Sales,5
18,Middle Eastern,Non-Binary,Phoenix,Relaxed,"['Video Games', 'Mind-Body']",Student,1
23,Black,Non-Binary,San Francisco,Social,"['Outdoor', 'Video Games', 'Water Sports']",Legal Work,2
20,Black,Female,Los Angeles,Extroverted,"['Mind-Body', 'Creative', 'Strength Training', 'Water Sports']",Legal Work,2
31,Middle Eastern,Non-Binary,Houston,Extroverted,"['Creative', 'Video Games', 'Water Sports']",Creative,1
22,Middle Eastern,Male,San Diego,Introverted,"['Team Sports', 'Dance', 'Video Games', 'Strength Training']",Student,3
24,Middle Eastern,Female,San Diego,Introverted,"['Outdoor', 'Water Sports', 'Indoor Activites']",Retired,3
23,Hispanic,Male,Houston,Extroverted,"['Strength Training', 'Outdoor', 'Creative']",Technology,2
24,White,Male,Chicago,Extroverted,"['Video Games', 'Dance', 'Team Sports']",Environmental,4
21,Asian,Male,Chicago,Social,"['Team Sports', 'Mind-Body']",Student,5
27,Middle Eastern,Female,Phoenix,Introverted,"['Strength Training', 'Outdoor', 'Team Sports']",Legal Work,2
24,Mixed,Female,Austin,Extroverted,"['Water Sports', 'Dance']",Retired,4
22,Mixed,Female,Chicago,Introverted,"['Individual Sports', 'Mind-Body', 'Creative', 'Water Sports']",Student,5
22,Black,Female,Houston,Social,"['Indoor Activites', 'Team Sports']",Student,1
22,Mixed,Female,Chicago,Introverted,['Dance'],Education,2
19,White,Female,Phoenix,Ambitious,['Mind-Body'],Student,5
21,Middle Eastern,Female,San Francisco,Social,"['Team Sports', 'Individual Sports', 'Indoor Activites']",Student,5
22,Hispanic,Male,Phoenix,Social,"['Team Sports', 'Video Games']",Student,4
22,Hispanic,Male,San Francisco,Extroverted,"['Indoor Activites', 'Mind-Body', 'Strength Training']",Environmental,4
21,Other,Female,Los Angeles,Relaxed,"['Outdoor', 'Creative']",Student,2
19,Hispanic,Female,Chicago,Extroverted,"['Dance', 'Team Sports']",Student,3
23,Black,Male,Phoenix,Ambitious,['Creative'],Office/Admin,4
35,Other,Female,Los Angeles,Introverted,"['Dance', 'Strength Training', 'Creative', 'Water Sports']",Retired,5
19,Black,Male,Los Angeles,Social,['Team Sports'],Student,2
34,Asian,Female,Chicago,Relaxed,['Team Sports'],Technology,3
32,White,Male,Houston,Ambitious,"['Individual Sports', 'Team Sports']",Production,3
24,Black,Male,Phoenix,Extroverted,"['Indoor Activites', 'Team Sports']",Retired,3
23,Hispanic,Female,Chicago,Relaxed,['Team Sports'],Client Relation/Support,4
21,Hispanic,Female,Austin,Social,"['Dance', 'Indoor Activites']",Student,2
35,Hispanic,Female,Houston,Extroverted,"['Strength Training', 'Individual Sports', 'Mind-Body', 'Water Sports']",Maintenance,1
35,Other,Non-Binary,Austin,Extroverted,"['Individual Sports', 'Outdoor', 'Strength Training', 'Creative']",Client Relation/Support,3
36,Asian,Male,Houston,Extroverted,"['Outdoor', 'Video Games']",Media,5
22,Black,Female,San Diego,Social,"['Video Games', 'Individual Sports', 'Water Sports', 'Dance']",Creative,1
24,Hispanic,Female,Los Angeles,Relaxed,"['Mind-Body', 'Dance', 'Team Sports', 'Video Games']",Environmental,5
25,White,Male,Houston,Social,"['Water Sports', 'Video Games']",Sales,4
22,White,Female,Austin,Relaxed,"['Indoor Activites', 'Creative']",Student,3
23,Mixed,Female,New York,Social,"['Strength Training', 'Video Games']",Creative,3
24,Hispanic,Male,Chicago,Relaxed,"['Video Games', 'Individual Sports', 'Dance']",Production,3
24,Middle Eastern,Non-Binary,Chicago,Extroverted,"['Video Games', 'Creative']",Maintenance,4
23,Hispanic,Non-Binary,Phoenix,Social,['Water Sports'],Retired,3
23,Middle Eastern,Male,Austin,Extroverted,"['Individual Sports', 'Water Sports', 'Strength Training']",Retired,4
18,Middle Eastern,Male,San Francisco,Extroverted,"['Creative', 'Indoor Activites', 'Mind-Body', 'Water Sports']",Student,5
33,White,Female,Los Angeles,Social,"['Video Games', 'Indoor Activites']",Technology,3
21,Other,Male,San Francisco,Ambitious,"['Outdoor', 'Strength Training', 'Individual Sports']",Student,4
22,White,Male,Phoenix,Extroverted,"['Indoor Activites', 'Strength Training']",Student,1
19,Asian,Male,Chicago,Extroverted,"['Team Sports', 'Strength Training', 'Indoor Activites', 'Dance']",Student,5
23,Other,Non-Binary,Chicago,Extroverted,"['Mind-Body', 'Indoor Activites', 'Individual Sports']",Media,2
22,Black,Female,New York,Extroverted,"['Indoor Activites', 'Video Games', 'Outdoor']",Student,5
24,Other,Male,Los Angeles,Ambitious,"['Outdoor', 'Team Sports', 'Dance', 'Video Games']",Office/Admin,3
31,Black,Female,New York,Relaxed,"['Strength Training', 'Individual Sports', 'Mind-Body', 'Water Sports']",Media,2
20,Asian,Female,Phoenix,Social,"['Water Sports', 'Indoor Activites']",Student,3
25,Middle Eastern,Male,San Francisco,Social,['Individual Sports'],Media,5
24,Mixed,Female,New York,Introverted,"['Strength Training', 'Mind-Body']",Client Relation/Support,1
20,White,Non-Binary,Chicago,Relaxed,['Strength Training'],Office/Admin,4
20,Hispanic,Male,San Diego,Extroverted,['Strength Training'],Production,2
27,White,Male,San Diego,Relaxed,"['Water Sports', 'Dance', 'Mind-Body', 'Outdoor']",Healthcare,2
19,Asian,Non-Binary,San Diego,Extroverted,"['Water Sports', 'Team Sports', 'Creative']",Student,4
21,White,Female,San Diego,Extroverted,"['Video Games', 'Strength Training']",Student,3
19,White,Female,New York,Ambitious,['Dance'],Student,3
20,Black,Male,New York,Introverted,"['Strength Training', 'Dance']",Student,2
31,Mixed,Male,San Francisco,Extroverted,"['Water Sports', 'Video Games']",Client Relation/Support,2
24,Mixed,Non-Binary,Houston,Relaxed,"['Mind-Body', 'Indoor Activites', 'Video Games']",Production,2
20,Other,Male,San Diego,Introverted,"['Individual Sports', 'Strength Training', 'Video Games']",Student,5
20,Hispanic,Male,Los Angeles,Introverted,['Indoor Activites'],Student,1
22,Hispanic,Female,San Francisco,Extroverted,"['Outdoor', 'Mind-Body', 'Video Games', 'Dance']",Student,2
22,Other,Non-Binary,Phoenix,Introverted,"['Individual Sports', 'Mind-Body', 'Creative', 'Indoor Activites']",Student,5
24,Other,Male,Houston,Introverted,"['Water Sports', 'Indoor Activites']",Office/Admin,5
19,Black,Non-Binary,Austin,Introverted,['Outdoor'],Student,2
30,Middle Eastern,Male,Chicago,Extroverted,['Indoor Activites'],Client Relation/Support,4
23,Middle Eastern,Female,Los Angeles,Extroverted,"['Water Sports', 'Indoor Activites']",Retired,4
20,Black,Non-Binary,San Diego,Relaxed,"['Dance', 'Individual Sports', 'Water Sports']",Technology,3
25,White,Non-Binary,Houston,Ambitious,['Individual Sports'],Education,5
23,Hispanic,Male,San Francisco,Extroverted,"['Strength Training', 'Water Sports', 'Individual Sports']",HR,4
24,Black,Male,Austin,Relaxed,['Creative'],Client Relation/Support,2
21,Middle Eastern,Female,Phoenix,Social,"['Creative', 'Mind-Body', 'Team Sports', 'Video Games']",Student,5
23,Asian,Female,Los Angeles,Introverted,"['Water Sports', 'Outdoor', 'Team Sports']",Creative,5
33,Asian,Male,Los Angeles,Ambitious,"['Indoor Activites', 'Creative', 'Video Games', 'Individual Sports']",Legal Work,3
22,White,Non-Binary,San Francisco,Relaxed,"['Dance', 'Indoor Activites', 'Mind-Body', 'Strength Training']",Student,4
22,Middle Eastern,Female,Chicago,Social,['Video Games'],Student,1
18,Middle Eastern,Male,San Francisco,Social,['Dance'],Student,3
23,Middle Eastern,Non-Binary,San Francisco,Social,"['Team Sports', 'Mind-Body', 'Creative', 'Dance']",Research,3
28,Black,Male,Austin,Ambitious,"['Indoor Activites', 'Strength Training']",Retired,5
19,Mixed,Non-Binary,New York,Extroverted,"['Strength Training', 'Indoor Activites', 'Individual Sports']",Student,1
25,Other,Male,Los Angeles,Extroverted,"['Video Games', 'Team Sports', 'Indoor Activites']",Environmental,5
25,Mixed,Female,Chicago,Social,"['Water Sports', 'Team Sports', 'Mind-Body', 'Dance']",Maintenance,2
24,Hispanic,Male,Houston,Extroverted,"['Individual Sports', 'Mind-Body', 'Team Sports']",Client Relation/Support,4
36,Other,Non-Binary,San Diego,Extroverted,"['Team Sports', 'Individual Sports', 'Indoor Activites', 'Creative']",Retired,2
26,Black,Female,Chicago,Social,"['Creative', 'Dance', 'Mind-Body', 'Indoor Activites']",Media,1
21,Asian,Female,San Diego,Social,['Indoor Activites'],Student,1
20,Black,Female,Phoenix,Extroverted,"['Outdoor', 'Strength Training', 'Individual Sports', 'Dance']",Student,5
24,Hispanic,Female,Chicago,Social,['Outdoor'],Retired,3
25,Middle Eastern,Male,Houston,Extroverted,"['Video Games', 'Team Sports']",Technology,1
25,Other,Male,Austin,Introverted,"['Water Sports', 'Outdoor', 'Individual Sports']",HR,3
34,Middle Eastern,Female,San Francisco,Ambitious,"['Mind-Body', 'Individual Sports', 'Indoor Activites']",Education,4
21,Asian,Non-Binary,Chicago,Social,"['Water Sports', 'Video Games']",Maintenance,2
23,Middle Eastern,Male,Austin,Social,"['Strength Training', 'Team Sports', 'Mind-Body', 'Individual Sports']",Production,3
18,White,Male,Phoenix,Introverted,"['Individual Sports', 'Team Sports', 'Video Games', 'Creative']",Student,4
38,Black,Male,San Diego,Ambitious,"['Strength Training', 'Creative', 'Team Sports']",Research,3
36,Mixed,Male,New York,Introverted,"['Team Sports', 'Creative']",Education,2
23,Black,Male,Los Angeles,Extroverted,"['Creative', 'Water Sports', 'Individual Sports']",Technology,5
27,White,Male,Houston,Social,"['Video Games', 'Team Sports', 'Strength Training', 'Outdoor']",Maintenance,4
22,Mixed,Female,New York,Ambitious,"['Indoor Activites', 'Video Games']",Student,3
35,Other,Male,Phoenix,Social,"['Individual Sports', 'Outdoor', 'Mind-Body']",Environmental,5
29,Other,Female,San Francisco,Introverted,"['Outdoor', 'Team Sports', 'Strength Training']",Legal Work,5
36,Asian,Female,Austin,Social,"['Team Sports', 'Outdoor', 'Creative']",Retired,2
25,Asian,Male,San Francisco,Extroverted,"['Water Sports', 'Mind-Body', 'Outdoor', 'Indoor Activites']",Client Relation/Support,2
20,Hispanic,Male,New York,Social,['Outdoor'],Student,1
25,Asian,Female,San Diego,Extroverted,"['Team Sports', 'Dance', 'Indoor Activites', 'Outdoor']",Client Relation/Support,2
19,White,Non-Binary,Los Angeles,Relaxed,"['Outdoor', 'Individual Sports']",Client Relation/Support,5
20,Black,Male,New York,Extroverted,"['Individual Sports', 'Team Sports', 'Indoor Activites']",Student,4
25,Asian,Male,Houston,Extroverted,"['Outdoor', 'Indoor Activites', 'Individual Sports']",Office/Admin,1
25,White,Female,Los Angeles,Social,"['Dance', 'Creative']",Maintenance,5
36,Mixed,Non-Binary,San Francisco,Extroverted,"['Creative', 'Strength Training', 'Outdoor', 'Individual Sports']",Maintenance,2
21,Black,Female,Chicago,Extroverted,"['Outdoor', 'Dance', 'Strength Training']",Retired,1
22,Black,Male,Phoenix,Extroverted,"['Individual Sports', 'Strength Training', 'Outdoor', 'Team Sports']",Student,4
22,Mixed,Male,Chicago,Introverted,"['Team Sports', 'Video Games']",Student,5
19,Other,Male,Austin,Social,['Video Games'],Student,3
22,Asian,Male,San Diego,Ambitious,"['Team Sports', 'Video Games', 'Individual Sports']",Student,4
20,Asian,Male,New York,Social,"['Video Games', 'Water Sports']",Maintenance,1
18,Black,Female,Chicago,Introverted,"['Indoor Activites', 'Strength Training']",Student,5
22,Asian,Non-Binary,Austin,Ambitious,"['Individual Sports', 'Team Sports']",Student,3
20,Other,Male,Los Angeles,Social,['Video Games'],Student,2
23,Other,Female,New York,Ambitious,"['Outdoor', 'Strength Training', 'Team Sports']",Environmental,2
28,Other,Male,Chicago,Extroverted,"['Individual Sports', 'Strength Training']",Office/Admin,1
19,Middle Eastern,Female,Phoenix,Social,"['Team Sports', 'Creative']",Student,3
29,Other,Non-Binary,San Francisco,Social,"['Video Games', 'Team Sports', 'Outdoor', 'Mind-Body']",Retired,2
25,White,Non-Binary,Los Angeles,Extroverted,"['Water Sports', 'Strength Training']",HR,1
25,White,Male,New York,Social,"['Creative', 'Mind-Body']",Sales,3
24,Hispanic,Non-Binary,New York,Introverted,['Video Games'],Healthcare,1
22,Other,Male,Los Angeles,Extroverted,"['Indoor Activites', 'Strength Training', 'Creative', 'Mind-Body']",Student,5
29,Hispanic,Male,Austin,Social,"['Dance', 'Outdoor', 'Water Sports', 'Indoor Activites']",Office/Admin,1
35,White,Non-Binary,Phoenix,Ambitious,['Indoor Activites'],Production,2
25,Asian,Female,Los Angeles,Relaxed,"['Creative', 'Dance', 'Individual Sports', 'Outdoor']",Production,3
21,Mixed,Male,Houston,Extroverted,"['Outdoor', 'Mind-Body']",Student,2
20,White,Non-Binary,San Francisco,Social,['Indoor Activites'],Student,2
22,White,Male,Phoenix,Ambitious,"['Team Sports', 'Dance']",Technology,1
37,Mixed,Male,San Francisco,Relaxed,"['Team Sports', 'Mind-Body']",Creative,3
19,Asian,Non-Binary,New York,Introverted,"['Outdoor', 'Creative', 'Strength Training', 'Video Games']",Student,2
25,Asian,Male,Los Angeles,Introverted,['Strength Training'],Media,1
18,Other,Male,Chicago,Social,"['Water Sports', 'Outdoor']",Student,4
30,Middle Eastern,Male,San Francisco,Social,['Strength Training'],Research,1
25,White,Male,Los Angeles,Social,"['Water Sports', 'Creative', 'Strength Training', 'Individual Sports']",HR,1
22,Middle Eastern,Male,Phoenix,Relaxed,"['Strength Training', 'Individual Sports']",Maintenance,1
27,Asian,Male,Los Angeles,Ambitious,['Mind-Body'],Environmental,1
25,White,Male,Phoenix,Extroverted,"['Video Games', 'Creative']",Research,2
37,White,Male,New York,Introverted,"['Mind-Body', 'Outdoor']",Research,3
23,White,Female,Austin,Social,"['Creative', 'Video Games', 'Strength Training']",Environmental,4
25,Asian,Female,New York,Ambitious,"['Team Sports', 'Dance', 'Individual Sports']",Media,5
19,Middle Eastern,Male,San Francisco,Relaxed,"['Team Sports', 'Dance', 'Strength Training']",Student,2
20,Asian,Non-Binary,San Francisco,Extroverted,"['Dance', 'Water Sports', 'Outdoor']",Student,3
23,White,Female,Chicago,Social,"['Mind-Body', 'Water Sports']",Technology,1
18,Asian,Female,Chicago,Ambitious,"['Individual Sports', 'Indoor Activites', 'Video Games']",Student,4
32,Mixed,Female,San Diego,Extroverted,['Creative'],Retired,4
18,Middle Eastern,Male,Chicago,Extroverted,"['Strength Training', 'Video Games', 'Team Sports']",Student,1
22,Black,Female,San Francisco,Introverted,['Dance'],Student,2
37,Mixed,Female,Austin,Introverted,['Dance'],Maintenance,1
24,Mixed,Female,San Diego,Introverted,"['Strength Training', 'Mind-Body', 'Outdoor', 'Video Games']",Production,3
18,Mixed,Male,Chicago,Social,"['Strength Training', 'Outdoor', 'Creative', 'Indoor Activites']",Office/Admin,1
18,Asian,Male,San Diego,Ambitious,"['Creative', 'Water Sports']",Student,2
20,Hispanic,Male,Los Angeles,Ambitious,"['Indoor Activites', 'Dance', 'Video Games', 'Water Sports']",Student,1
27,Hispanic,Male,Chicago,Extroverted,['Indoor Activites'],Sales,4
29,White,Non-Binary,Austin,Social,"['Creative', 'Individual Sports']",Client Relation/Support,5
34,Middle Eastern,Male,San Francisco,Ambitious,"['Video Games', 'Creative', 'Water Sports']",Sales,4
27,Asian,Male,Houston,Extroverted,['Strength Training'],Maintenance,1
28,Middle Eastern,Male,San Francisco,Social,"['Dance', 'Outdoor']",Production,3
32,Asian,Non-Binary,Phoenix,Social,"['Indoor Activites', 'Dance', 'Individual Sports', 'Water Sports']",Office/Admin,1
21,Mixed,Female,San Diego,Extroverted,"['Video Games', 'Dance', 'Team Sports']",Maintenance,4
24,White,Female,Los Angeles,Social,['Video Games'],Retired,4
30,Asian,Female,Chicago,Ambitious,['Strength Training'],Production,2
20,Other,Male,Phoenix,Ambitious,"['Individual Sports', 'Indoor Activites']",Student,5
21,Hispanic,Female,Austin,Extroverted,['Mind-Body'],Student,1
26,Asian,Female,Chicago,Social,"['Creative', 'Outdoor', 'Video Games']",Legal Work,1
27,Other,Female,New York,Introverted,"['Team Sports', 'Creative', 'Strength Training', 'Video Games']",Education,2
23,Mixed,Non-Binary,Austin,Introverted,['Outdoor'],Creative,2
19,Hispanic,Female,New York,Introverted,"['Team Sports', 'Video Games', 'Outdoor']",Student,3
34,Asian,Non-Binary,Houston,Introverted,"['Individual Sports', 'Water Sports', 'Strength Training', 'Team Sports']",Sales,1
34,Black,Non-Binary,San Diego,Relaxed,['Indoor Activites'],Client Relation/Support,3
